,Title,Published_date,Views,Likes,Comments,Month
207,Avoid These Data Science Resume Mistakes!,2020-02-10,27847,1227,61,Feb
208,Data Science Explained with ... Cooking?,2020-02-07,5108,310,48,Feb
209,The 4 Types of Sports Analytics Projects,2020-02-03,29210,961,60,Feb
210,Data Science in Golf: PGA Merchandise Show 2020,2020-01-31,575,18,13,Jan
211,How I Learned Data Science,2020-01-27,93453,2681,210,Jan
212,What is Sports Analytics Really?,2020-01-20,20450,600,73,Jan
213,Data Science Certificate vs Bootcamp vs Masters Degree,2020-01-18,109753,3113,577,Jan
214,How To Learn Programming for Data Science [3 Steps],2020-01-13,29877,1976,96,Jan
215,Data Science Fundamentals: SQL Queries,2020-01-10,6243,211,35,Jan
216,Questions You Should Ask Your Data Science Interviewers,2020-01-06,3092,149,14,Jan
217,The 9 Books That Changed My Perspective in 2019,2020-01-03,3357,179,25,Jan
218,The Data Science Interview: What to Expect,2019-12-30,8365,374,32,Dec
219,5 Data Science Resolutions for 2020,2019-12-27,474,25,12,Dec
220,How to Scrape NBA Data Using the nba_api Python Module,2019-12-23,16231,570,92,Dec
221,Collision Course: Sports Betting + Data Science,2019-12-20,16685,482,27,Dec
222,3 Reasons You Should NOT Become a Data Scientist,2019-12-16,100700,2939,204,Dec
223,5 Sports Analytics Books to Get You Started,2019-12-13,10448,398,57,Dec
224,Math Needed for Mastering Data Science,2019-12-09,55765,2846,222,Dec
225,The 5 Stages of Data Science Adoption,2019-12-06,1307,68,17,Dec
226,How YOU Can Land a Sports Analytics Job,2019-12-02,67307,3003,230,Dec
227,Data Science Fundamentals: Linear Regression,2019-11-29,6245,172,42,Nov
228,Golf: Would You Rather Be the LONGEST or STRAIGHTEST Driver on the PGA Tour?,2019-11-25,1024,51,12,Nov
229,Sports Analytics 101: The Pythagorean Theorem of Sports,2019-11-22,5852,267,26,Nov
230,9 Ways You Can Make Extra Income as a Data Scientist,2019-11-18,45824,1749,80,Nov
231,Applying Data Science To My YouTube Data: My Surprising Findings,2019-11-11,5897,136,31,Nov
232,Why Selling Is An Important Data Science Skill,2019-11-04,1606,79,13,Nov
233,By The Numbers: Where Should The NBA Put a 4 Point Line?,2019-10-21,2776,73,18,Oct
234,Why is Balance Important in Data Science?,2019-10-16,698,32,13,Oct
235,How to Stay Productive & Motivated When Learning Data Science,2019-09-29,11733,578,54,Sep
236,How Far Should the NBA 3-Point Line Actually Be?,2019-09-21,3708,113,31,Sep
237,6 Habits of Successful Data Scientists,2019-09-13,2187,94,17,Sep
238,How To Build A Word Cloud From Scraped Data (Python),2019-09-04,4340,97,9,Sep
239,Thank You For The Support | What's Next | Ken Jee | Data Science,2019-08-26,518,24,29,Aug
240,Is Data Science Right For You?,2019-08-18,50073,1165,109,Aug
241,Data Science Fundamentals: Data Cleaning in Python,2019-08-11,14557,388,55,Aug
242,How To Get Data Science Experience (Without a Job),2019-08-08,29032,1379,75,Aug
243,Take Your Data Science Projects From Good to Great,2019-08-05,1587,107,11,Aug
244,The Projects You Should Do To Get A Data Science Job,2019-07-30,148521,5673,253,Jul
245,What Does a Data Scientist Actually Do?,2019-07-19,44871,1241,81,Jul
246,Data Science Fundamentals: Data Manipulation in Python (Pandas),2019-07-13,12746,351,42,Jul
247,Data Science Fundamentals: Data Exploration in Python (Pandas),2019-07-05,17532,525,61,Jul
248,Data Science: Pros and Cons,2019-06-30,5140,213,18,Jun
249,How I Got My First Data Science Internship (And How You Can Land One),2019-06-21,24172,1173,89,Jun
250,My Top 5 Data Science Internship Tips,2019-06-15,11735,488,23,Jun
251,Golf STATS: Strokes Gained Explained,2019-06-07,7137,147,28,Jun
252,Most Data Science Hopefuls Overlook This Important Skill,2019-05-25,614,44,5,May
253,What I Learned From My Three Degrees,2019-05-17,1246,60,12,May
254,I Wish I Had Known THIS Before Starting in Data Science,2019-05-14,25597,1070,68,May
255,NASA Physicist Turned Data Scientist (Tim Bowling) - KNN EP. 02,2019-05-05,1230,40,2,May
256,Should You Learn R for Data Science?,2019-04-25,20395,546,69,Apr
257,Scrape Twitter Data in Python with Twitterscraper Module,2019-04-18,46260,853,336,Apr
258,Work From Home Data Scientist: Day in the Life,2019-04-12,28014,761,101,Apr
259,Where to Look for Data Science Jobs,2019-03-29,2996,120,9,Mar
260,Data Science: Startup vs. Large Corporation,2019-03-21,2093,75,4,Mar
261,"Data Science, Machine Learning, and AI: What's the Difference?",2019-03-16,6057,170,26,Mar
262,Was Captain Marvel Bad? A Sentiment Analysis of Twitter Data,2019-03-09,4143,180,15,Mar
263,Why You DON'T Want to be a WFH Data Scientist,2019-03-03,794,33,12,Mar
264,Welcome To My Channel | Ken Jee | Data Science,2019-03-03,1420,35,8,Mar
265,Where YOU Should Start With Data Science Projects,2019-02-19,16071,331,17,Feb
266,Watch This Before Applying to Data Science Jobs,2019-02-04,1480,66,13,Feb
267,My Top 5 Data Science Resources for 2019,2019-01-05,3676,121,17,Jan
268,IT'S NOT TOO LATE TO LEARN CODE!,2018-12-18,827,37,6,Dec
269,The Best Way to Predict NBA Minutes Played,2018-12-11,4156,107,14,Dec
270,Demystifying Data Science Roles,2018-11-30,1126,53,5,Nov
271,How to Simulate NBA Games in Python,2018-11-19,17444,388,54,Nov
272,Should You Get A Masters in Data Science?,2018-11-14,20464,304,138,Nov
273,How I Became A Data Scientist From a Business Background,2018-11-12,6380,198,23,Nov
274,Predicting Season Long NBA Wins Using Multiple Linear Regression,2018-07-10,8535,193,17,Jul
275,Predicting Crypto-Currency Price Using RNN lSTM & GRU,2017-11-18,18755,292,41,Nov
